﻿Time,FlowPath,Action,Target,Value,Status,Screenshot,Error
17:12:03,System,Start,Workflow,ซองจดหมาย,Running,,
17:12:03,ซองจดหมาย,Click,เคหะร่มเกล้า 41 145 คลองสองต้นนุ่น ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:12:34,ซองจดหมาย,Click,เคหะร่มเกล้า 41 145 คลองสองต้นนุ่น ลาดกระบัง กรุงเทพมหานคร 10520,,Failed,,Timeout waiting for button: เคหะร่มเกล้า 41 145 คลองสองต้นนุ่น ลาดกระบัง กรุงเทพมหานคร 10520
17:12:34,System,Error,Process,Exception,Failed,,Timeout waiting for button: เคหะร่มเกล้า 41 145 คลองสองต้นนุ่น ลาดกระบัง กรุงเทพมหานคร 10520

17:13:05,SYSTEM,START,=== NEW RUN ===,,,,
17:13:05,System,Start,Workflow,ซองจดหมาย,Running,,
17:13:05,ซองจดหมาย,ReadText,เคหะร่มเกล้า 41,,Running,,
17:13:21,ซองจดหมาย,ReadText,เคหะร่มเกล้า 41,,Failed,,STOP_FLOW: ReadText failed. Element 'เคหะร่มเกล้า 41' not found.
17:13:21,System,Error,Process,Exception,Failed,,STOP_FLOW: ReadText failed. Element 'เคหะร่มเกล้า 41' not found.

17:18:51,SYSTEM,START,=== NEW RUN ===,,,,
17:18:51,System,Start,Workflow,ซองจดหมาย,Running,,
17:18:51,ซองจดหมาย,ReadText,หลวงแพ่ง 4,,Running,,
17:19:07,ซองจดหมาย,ReadText,หลวงแพ่ง 4,,Failed,,STOP_FLOW: ReadText failed. Element 'หลวงแพ่ง 4' not found.
17:19:07,System,Error,Process,Exception,Failed,,STOP_FLOW: ReadText failed. Element 'หลวงแพ่ง 4' not found.

17:19:28,SYSTEM,START,=== NEW RUN ===,,,,
17:19:28,System,Start,Workflow,ซองจดหมาย,Running,,
17:19:28,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:19:28,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:19:28,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:19:59,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Failed,,Timeout waiting for button: หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520
17:19:59,System,Error,Process,Exception,Failed,,Timeout waiting for button: หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520

17:20:19,SYSTEM,START,=== NEW RUN ===,,,,
17:20:19,System,Start,Workflow,ซองจดหมาย,Running,,
17:20:20,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:20:20,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:20:20,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
17:20:25,ซองจดหมาย,Click,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Success,,
17:20:25,System,Finish,Workflow,ซองจดหมาย,Success,,

17:20:55,SYSTEM,START,=== NEW RUN ===,,,,
17:20:55,System,Start,Workflow,ซองจดหมาย,Running,,
17:20:55,ซองจดหมาย,Read Text,หลวงแพ่ง 4 145 ทับยาว ลาดกระบัง กรุงเทพมหานคร 10520,,Running,,
